fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
05/03/2020,67,1,50,1,0.014925373,0.02
13/03/2020,57,2,46,1,0.035087719,0.02173913
19/03/2020,67,3,67,3,0.044776119,0.044776119
24/03/2020,66,1,60,1,0.015151515,0.016666667
26/03/2020,54,1,50,1,0.018518519,0.02
27/03/2020,32,4,30,4,0.125,0.133333333
28/03/2020,5,1,3,1,0.2,0.333333333
29/03/2020,16,5,16,6,0.3125,0.375
30/03/2020,50,3,47,2,0.06,0.042553191
31/03/2020,26,4,24,4,0.153846154,0.166666667
01/04/2020,20,1,17,1,0.05,0.058823529
02/04/2020,42,6,35,3,0.142857143,0.085714286
03/04/2020,31,4,24,4,0.129032258,0.166666667
04/04/2020,69,14,67,14,0.202898551,0.208955224
05/04/2020,2339,538,2153,491,0.230012826,0.228053878
06/04/2020,945,218,807,180,0.230687831,0.223048327
07/04/2020,1283,174,1065,151,0.135619641,0.141784038
08/04/2020,1142,212,991,181,0.185639229,0.182643794
09/04/2020,572,109,495,91,0.190559441,0.183838384
10/04/2020,693,166,595,146,0.23953824,0.245378151
11/04/2020,237,77,223,71,0.324894515,0.31838565
12/04/2020,169,75,135,60,0.443786982,0.444444444
13/04/2020,911,277,732,232,0.304061471,0.316939891
14/04/2020,879,244,725,195,0.277588168,0.268965517
15/04/2020,878,284,761,253,0.323462415,0.332457293
16/04/2020,1209,334,1052,270,0.276261373,0.256653992
17/04/2020,1237,340,1064,289,0.274858529,0.271616541
18/04/2020,466,92,427,85,0.197424893,0.199063232
19/04/2020,251,133,225,114,0.529880478,0.506666667
20/04/2020,1110,425,932,359,0.382882883,0.385193133
21/04/2020,1524,463,1293,364,0.303805774,0.281515855
22/04/2020,1778,512,1544,434,0.287964004,0.281088083
23/04/2020,1374,480,1161,396,0.349344978,0.341085271
24/04/2020,1555,588,1322,485,0.378135048,0.366868381
25/04/2020,494,239,445,218,0.483805668,0.48988764
26/04/2020,411,170,347,146,0.413625304,0.42074928
27/04/2020,1634,649,1407,548,0.397184823,0.389481166
28/04/2020,1698,561,1400,463,0.330388693,0.330714286
29/04/2020,1916,713,1601,602,0.372129436,0.376014991
30/04/2020,1889,591,1591,500,0.312863949,0.314267756
01/05/2020,742,240,603,190,0.323450135,0.315091211
02/05/2020,649,263,577,227,0.405238829,0.393414211
03/05/2020,555,221,499,196,0.398198198,0.392785571
04/05/2020,2022,753,1657,622,0.372403561,0.375377188
05/05/2020,1599,586,1370,508,0.366479049,0.37080292
06/05/2020,2175,694,1783,592,0.31908046,0.332024678
07/05/2020,2237,705,1842,585,0.315154224,0.317589577
08/05/2020,2450,921,2001,751,0.375918367,0.375312344
09/05/2020,798,351,684,305,0.439849624,0.445906433
10/05/2020,468,210,416,176,0.448717949,0.423076923
11/05/2020,2223,893,1756,700,0.401709402,0.398633257
12/05/2020,2256,941,1899,826,0.417109929,0.434965771
13/05/2020,2422,1112,1962,905,0.45912469,0.461264016
14/05/2020,2241,971,1868,798,0.43328871,0.427194861
15/05/2020,2680,1181,2197,969,0.440671642,0.441055985
16/05/2020,959,439,797,371,0.457768509,0.465495609
17/05/2020,611,288,522,249,0.471358429,0.477011494
18/05/2020,2720,1183,2211,956,0.434926471,0.432383537
19/05/2020,2564,1207,2115,995,0.47074883,0.470449173
20/05/2020,2688,1239,2147,1014,0.4609375,0.472286912
21/05/2020,2771,1232,2278,996,0.444604836,0.437225637
22/05/2020,2785,1226,2266,954,0.44021544,0.421006178
23/05/2020,921,392,805,335,0.425624321,0.416149068
24/05/2020,641,300,520,251,0.468018721,0.482692308
25/05/2020,2875,1294,2302,1030,0.450086957,0.447437011
26/05/2020,2905,1387,2303,1076,0.477452668,0.467216674
27/05/2020,3321,1450,2697,1177,0.436615477,0.436410827
28/05/2020,2357,1059,1953,898,0.449299958,0.459805428
29/05/2020,2542,1120,2165,956,0.440597954,0.441570439
30/05/2020,1156,547,991,472,0.473183391,0.476286579
31/05/2020,689,346,573,296,0.502177068,0.516579407
01/06/2020,3049,1469,2521,1205,0.481797311,0.477984927
02/06/2020,3023,1420,2382,1083,0.469732054,0.45465995
03/06/2020,3249,1457,2590,1109,0.448445676,0.428185328
04/06/2020,2802,1164,2316,954,0.415417559,0.411917098
05/06/2020,2920,1235,2415,1010,0.422945205,0.418219462
06/06/2020,1036,482,878,400,0.465250965,0.455580866
07/06/2020,634,294,523,257,0.463722397,0.491395793
08/06/2020,3171,1493,2584,1199,0.470829391,0.464009288
09/06/2020,2984,1401,2409,1085,0.469504021,0.450394355
10/06/2020,3073,1370,2503,1071,0.445818418,0.427886536
11/06/2020,3033,1273,2413,985,0.419716452,0.408205553
12/06/2020,3096,1249,2533,1006,0.403423773,0.397157521
13/06/2020,1128,436,920,347,0.386524823,0.377173913
14/06/2020,855,351,672,263,0.410526316,0.391369048
15/06/2020,3109,1142,2516,881,0.367320682,0.350158983
16/06/2020,3187,1244,2630,1020,0.390335739,0.3878327
17/06/2020,3081,1196,2451,950,0.388185654,0.387596899
18/06/2020,2900,1070,2378,874,0.368965517,0.367535744
19/06/2020,2872,1109,2276,867,0.386142061,0.380931459
20/06/2020,979,364,802,300,0.371807967,0.374064838
21/06/2020,726,294,601,245,0.404958678,0.40765391
22/06/2020,2735,1103,2202,859,0.403290676,0.390099909
23/06/2020,2809,1074,2341,882,0.382342471,0.376762067
24/06/2020,2704,1071,2275,892,0.396079882,0.392087912
25/06/2020,2864,1084,2362,876,0.37849162,0.370872142
26/06/2020,2925,1075,2419,878,0.367521368,0.362959901
27/06/2020,895,360,716,286,0.402234637,0.399441341
28/06/2020,703,241,534,198,0.342816501,0.370786517
29/06/2020,3732,1385,2992,1069,0.371114684,0.357286096
30/06/2020,3306,1285,2662,1011,0.388687235,0.379789632
01/07/2020,3238,1251,2658,993,0.386349599,0.373589165
02/07/2020,2862,1106,2369,904,0.386443047,0.38159561
03/07/2020,3362,1206,2830,984,0.358715051,0.34770318
04/07/2020,1024,354,885,304,0.345703125,0.343502825
05/07/2020,782,243,664,199,0.310741688,0.299698795
06/07/2020,3385,1225,2762,989,0.361890694,0.35807386
