Sum of DepDelay,Column Labels,,,,,,,,,,,,,,,,
Row Labels,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,(blank),Grand Total
1987,,-20,81,145,36,97,,,,,,,,,,,339
4,,-20,81,145,36,97,,,,,,,,,,,339
1988,,-64,385,408,263,149,126,245,98,109,,,151,179,,,2049
1,,-15,121,131,,97,63,82,98,109,,,,,,,686
2,,-11,84,119,105,52,,78,,,,,151,179,,,757
3,,-23,89,21,39,,,,,,,,,,,,126
4,,-15,91,137,119,,63,85,,,,,,,,,480
1989,,-84,450,417,231,196,335,155,,,,,,,,,1700
1,,-31,97,155,113,97,135,,,,,,,,,,566
2,,-18,99,109,39,,,75,,,,,,,,,304
3,,-25,181,65,37,,200,80,,,,,,,,,538
4,,-10,73,88,42,99,,,,,,,,,,,292
1990,,-135,350,383,112,49,268,,,108,122,,,,,,1257
1,,-33,98,139,,,67,,,,,,,,,,271
2,,-42,89,105,,,,,,108,,,,,,,260
3,,-28,72,33,,49,137,,,,,,,,,,263
4,,-32,91,106,112,,64,,,,122,,,,,,463
1991,,-120,425,291,361,209,62,88,,107,,,,,,,1423
1,,-33,64,49,151,48,,,,,,,,,,,279
2,,-36,91,120,33,,,,,107,,,,,,,315
3,,-26,152,103,113,161,,88,,,,,,,,,591
4,,-25,118,19,64,,62,,,,,,,,,,238
1992,,-140,329,326,145,164,,,,,,,158,,,,982
1,,-43,97,39,43,50,,,,,,,,,,,186
2,,-35,71,75,,,,,,,,,,,,,111
3,,-26,90,43,102,59,,,,,,,,,,,268
4,,-36,71,169,,55,,,,,,,158,,,,417
1993,,-161,381,267,271,305,70,,99,,,,,,308,,1540
1,,-34,127,66,118,160,70,,99,,,,,,,,606
2,,-44,101,16,82,50,,,,,,,,,308,,513
3,,-45,97,58,33,47,,,,,,,,,,,190
4,,-38,56,127,38,48,,,,,,,,,,,231
1994,,-120,402,337,295,158,62,81,,,,,,,,,1215
1,,-15,71,83,40,54,62,,,,,,,,,,295
2,,-35,110,50,,45,,,,,,,,,,,170
3,,-33,99,109,,,,81,,,,,,,,,256
4,,-37,122,95,255,59,,,,,,,,,,,494
1995,,-183,490,433,256,399,133,159,,222,,,,,,,1909
1,,-40,110,195,,149,,82,,110,,,,,,,606
2,,-59,82,43,107,,,,,,,,,,,,173
3,,-48,148,133,74,45,61,,,112,,,,,,,525
4,,-36,150,62,75,205,72,77,,,,,,,,,605
1996,,-177,427,357,365,412,330,85,96,,,146,158,174,364,,2737
1,,-11,81,75,34,,66,,,,,,158,,,,403
2,,-45,106,71,41,144,132,,,,,,,,,,449
3,,-47,170,139,101,100,132,85,96,,,,,,364,,1140
4,,-74,70,72,189,168,,,,,,146,,174,,,745
1997,,-224,387,284,264,200,321,167,103,225,,,161,170,241,,2299
1,,-35,61,69,73,50,198,,,225,,,,,,,641
2,,-57,126,83,30,,,81,,,,,,,241,,504
3,,-61,121,84,86,,61,,,,,,,170,,,461
4,,-71,79,48,75,150,62,86,103,,,,161,,,,693
1998,,-263,354,350,302,264,64,,199,,258,,,,,,1528
1,,-79,65,66,78,52,,,95,,,,,,,,277
2,,-39,107,78,112,48,,,104,,124,,,,,,534
3,,-81,78,114,,164,64,,,,134,,,,,,473
4,,-64,104,92,112,,,,,,,,,,,,244
1999,-18,-327,381,352,341,361,332,171,,110,,,,165,238,,2106
1,,-66,86,92,64,162,60,,,,,,,165,,,563
2,,-70,88,110,36,45,70,87,,,,,,,,,366
3,-18,-87,117,96,107,53,134,,,110,,,,,238,,750
4,,-104,90,54,134,101,68,84,,,,,,,,,427
2000,,-323,416,444,533,256,478,170,,116,,294,,177,998,,3559
1,,-72,139,58,65,,133,,,116,,149,,,554,,1142
2,,-60,77,130,177,103,74,85,,,,,,,444,,1030
3,,-97,99,140,217,51,271,,,,,,,,,,681
4,,-94,101,116,74,102,,85,,,,145,,177,,,706
2001,,-498,333,205,764,196,342,162,90,106,,149,156,165,214,,2384
1,,-112,63,62,222,99,72,83,,106,,149,,,,,744
2,,-159,107,26,219,,205,79,90,,,,,165,,,732
3,,-117,81,76,204,,,,,,,,,,214,,458
4,,-110,82,41,119,97,65,,,,,,156,,,,450
2002,,-546,234,392,334,307,200,80,99,,,140,,,180,,1420
1,,-87,73,111,120,,71,,,,,,,,180,,468
2,,-159,61,128,110,100,,80,99,,,140,,,,,559
3,,-157,38,28,69,103,64,,,,,,,,,,145
4,,-143,62,125,35,104,65,,,,,,,,,,248
2003,,-783,193,393,237,247,203,162,,117,121,281,,,,,1171
1,,-262,67,45,40,96,60,162,,,121,144,,,,,473
2,,-173,54,89,86,,,,,,,,,,,,56
3,,-172,33,139,111,48,,,,,,,,,,,159
4,,-176,39,120,,103,143,,,117,,137,,,,,483
2004,,-743,252,359,403,272,451,253,195,110,124,140,308,,207,,2331
1,,-140,15,152,151,109,68,,,,,,,,,,355
2,,-206,70,92,103,58,135,171,100,,124,140,308,,,,1095
3,,-207,74,51,73,52,188,,,110,,,,,,,341
4,,-190,93,64,76,53,60,82,95,,,,,,207,,540
2005,,-699,384,510,503,661,579,802,104,,124,,160,,1000,,4128
1,,-199,81,88,245,,130,319,,,,,,,597,,1261
2,,-133,97,94,117,248,60,311,,,,,,,,,794
3,,-159,105,146,30,209,253,85,,,,,160,,,,829
4,,-208,101,182,111,204,136,87,104,,124,,,,403,,1244
2006,,-773,340,491,381,467,594,79,290,108,128,285,322,,464,,3176
1,,-105,85,88,137,56,192,,,108,128,141,,,,,830
2,,-199,77,122,87,197,72,,90,,,,,,,,446
3,,-200,106,88,114,158,330,79,98,,,144,,,267,,1184
4,,-269,72,193,43,56,,,102,,,,322,,197,,716
2007,,-715,523,624,432,626,597,87,478,111,495,149,462,172,396,,4437
1,,-194,116,221,79,156,65,87,103,,,,157,,,,790
2,,-166,123,142,179,54,329,,,,,149,,,,,810
3,,-182,134,37,100,161,133,,190,111,371,,,,396,,1451
4,,-173,150,224,74,255,70,,185,,124,,305,172,,,1386
2008,-55,-766,383,498,350,152,327,251,573,226,248,143,155,171,582,,3238
1,-16,-167,126,220,30,52,61,,90,226,248,,155,,199,,1224
2,,-163,105,114,75,,69,,193,,,,,,,,393
3,-39,-197,82,139,143,,66,171,193,,,143,,171,383,,1255
4,,-239,70,25,102,100,131,80,97,,,,,,,,366
2009,,-907,364,415,409,209,201,335,685,350,,,159,168,780,,3168
1,,-232,74,112,44,,60,78,292,117,,,,,600,,1145
2,,-250,74,105,173,93,141,173,91,119,,,159,,,,878
3,,-240,93,139,114,116,,84,302,114,,,,,180,,902
4,,-185,123,59,78,,,,,,,,,168,,,243
2010,,-932,394,525,549,368,200,235,298,219,125,,150,,990,,3121
1,,-228,41,61,107,153,70,77,100,,,,150,,792,,1323
2,,-221,88,146,64,55,,83,,108,,,,,198,,521
3,,-249,157,145,187,49,130,75,103,111,,,,,,,708
4,,-234,108,173,191,111,,,95,,125,,,,,,569
2011,-19,-776,306,333,257,257,208,407,104,576,,143,471,177,181,,2625
1,,-206,68,126,35,50,72,154,,224,,,153,177,,,853
2,,-162,111,68,82,105,67,87,104,116,,,,,181,,759
3,,-208,63,66,140,47,69,166,,117,,,318,,,,778
4,-19,-200,64,73,,55,,,,119,,143,,,,,235
2012,-16,-759,244,475,405,212,282,172,90,110,383,,,172,1577,,3347
1,,-219,62,96,76,45,66,,,110,,,,,400,,636
2,,-246,52,78,77,109,71,,90,,,,,,,,231
3,,-116,54,220,139,58,145,172,,,251,,,,189,,1112
4,-16,-178,76,81,113,,,,,,132,,,172,988,,1368
2013,-17,-750,326,555,513,530,338,237,97,107,132,140,158,,460,,2826
1,-17,-142,78,62,30,207,132,,97,,132,,,,460,,1039
2,,-235,83,249,215,59,145,156,,,,140,,,,,812
3,,-178,47,101,128,159,61,,,,,,158,,,,476
4,,-195,118,143,140,105,,81,,107,,,,,,,499
2014,-16,-750,360,683,380,458,402,655,380,452,121,139,,,431,,3695
1,-16,-160,33,155,33,99,74,246,,114,,,,,208,,786
2,,-202,101,112,36,55,195,162,91,,121,,,,223,,894
3,,-188,101,213,151,150,133,160,101,113,,139,,,,,1073
4,,-200,125,203,160,154,,87,188,225,,,,,,,942
2015,-16,-716,337,535,516,404,264,327,98,448,130,138,150,,1071,,3686
1,-16,-170,84,141,215,209,,75,,113,,,150,,339,,1140
2,,-153,96,128,38,51,62,252,,110,130,138,,,732,,1584
3,,-179,88,43,106,45,67,,,116,,,,,,,286
4,,-214,69,223,157,99,135,,98,109,,,,,,,676
2016,,-681,218,424,461,301,61,256,281,232,367,,,168,185,,2273
1,,-163,49,114,70,,61,,,,244,,,168,,,543
2,,-174,76,88,76,47,,86,191,,,,,,,,390
3,,-125,40,133,205,98,,89,,232,123,,,,,,795
4,,-219,53,89,110,156,,81,90,,,,,,185,,545
2017,,-776,232,434,250,276,333,78,483,,,141,305,170,1127,,3053
1,,-185,33,138,35,172,,78,195,,,,,,248,,714
2,,-193,61,137,64,58,203,,96,,,141,150,,612,,1329
3,,-167,73,72,116,46,67,,,,,,,,,,207
4,,-231,65,87,35,,63,,192,,,,155,170,267,,803
