Row Labels,Sum of BIRTHS2010
Alabama,28452
Alaska,5784
Arizona,41874
Arkansas,18878
California,246648
Colorado,33582
Connecticut,18978
Delaware,5694
District of Columbia,4486
Florida,101744
Georgia,64978
Hawaii,9292
Idaho,11942
Illinois,83672
Indiana,41922
Iowa,19934
Kansas,19984
Kentucky,27382
Louisiana,29146
Maine,6886
Maryland,36922
Massachusetts,37294
Michigan,58204
Minnesota,35000
Mississippi,18842
Missouri,38024
Montana,6136
Nebraska,13030
Nevada,17784
New Hampshire,6538
New Jersey,53058
New Mexico,13298
New York,122828
North Carolina,59828
North Dakota,4682
Ohio,69618
Oklahoma,26288
Oregon,23754
Pennsylvania,72202
Rhode Island,5750
South Carolina,28360
South Dakota,6064
Tennessee,39326
Texas,185534
Utah,27504
Vermont,3308
Virginia,51436
Washington,44488
West Virginia,10208
Wisconsin,35116
Wyoming,3990
Grand Total,1975672
